parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
kDpEnsa	kDpEnsa	log10	0.025	0.1	0.04884035181473598	1
kPhGw	kPhGw	log10	0.5	2.0	0.9557274908322796	1
kDpGw1	kDpGw1	log10	0.125	0.5	0.23627384722549716	1
kDpGw2	kDpGw2	log10	5.0	20.0	9.727009348471539	1
kWee1	kWee1	log10	0.005	0.02	0.009697380994974502	1
kWee2	kWee2	log10	0.495	1.98	1.3082034505762745	1
kPhWee	kPhWee	log10	0.5	2.0	1.064760320268394	1
kDpWee	kDpWee	log10	5.0	20.0	10.18180369497469	1
kCdc25_1	kCdc25_1	log10	0.05	0.2	0.13581165213849145	1
kCdc25_2	kCdc25_2	log10	0.45	1.8	1.099638172789841	1
kPhCdc25	kPhCdc25	log10	0.5	2.0	0.9614364336538884	1
kDpCdc25	kDpCdc25	log10	5.0	20.0	8.990540792938287	1
kDipEB55	kDipEB55	log10	0.0034	0.0136	0.003400012895284279	1
kAspEB55	kAspEB55	log10	28.5	114.0	46.38655184362011	1
fCb	fCb	log10	1.0	4.0	1.9992688632643008	1
jiWee	jiWee	log10	0.05	0.2	0.1999988394971311	1
fB55_wt	fB55_wt	log10	0.5	2.0	0.9679195743086243	1
fB55_iWee	fB55_iWee	log10	0.45	1.8	0.8865478427892596	1
fB55_Cb_low	fB55_Cb_low	log10	0.55	2.2	1.066191240959165	1
fB55_pGw_weak	fB55_pEnsa_weak	log10	0.5	2.0	0.9717418497460936	1
kPhEnsa_wt	kPhEnsa_wt	log10	0.05	0.2	0.10039332190383725	1
kPhEnsa_iWee	kPhEnsa_iWee	log10	0.05	0.2	0.09781870026646508	1
kPhEnsa_Cb_low	kPhEnsa_Cb_low	log10	0.05	0.2	0.10132477671546679	1
kPhEnsa_pGw_weak	kPhEnsa_pGw_weak	log10	0.045	0.18	0.09080117912692173	1
